bill	type	chamber	roll	date	yeas	nays	question	last_of_chamber	title	disposition	reason
HB1797	B	senate	1541155	2025-04-08	19	6	passage	False	To Amend The Law Concerning The Arkansas Development Finance Authority; And To Declare An Emergency.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1802	B	senate	1540632	2025-04-08	19	9	passage	True	To Create The Talent Recruitment Grant Program; And To Provide Incentives For Individuals To Relocate To The State.	candidate:unbatched	passed the gate, not yet read
HB1824	B	senate	1543057	2025-04-09	18	14	passage	True	To Create The Dog And Cat Rescue Act: Daisy's Law.	candidate:unbatched	passed the gate, not yet read
HB1832	B	house	1541608	2025-04-09	75	19	passage	True	To Amend The Rules Of The Supreme Court And Court Of Appeals Of The State Of Arkansas; And To Amend A Rule Of The Supreme Court And Court Of Appeals Under The Authority Granted By The Arkansas Constitution.	candidate:unbatched	passed the gate, not yet read
HB1832	B	senate	1548955	2025-04-15	26	7	passage	True	To Amend The Rules Of The Supreme Court And Court Of Appeals Of The State Of Arkansas; And To Amend A Rule Of The Supreme Court And Court Of Appeals Under The Authority Granted By The Arkansas Constitution.	candidate:unbatched	passed the gate, not yet read
HB1866	B	house	1547193	2025-04-14	71	21	concurrence	True	To Create Eli's Law; And To Require Each Public School To Install An Audio Recording Device In Each Locker Room And Dressing Room On The Public School Campus.	candidate:unbatched	passed the gate, not yet read
HB1874	B	house	1544917	2025-04-10	61	25	passage	True	An Act To Amend The Use Of Professional Development Funding That Exceeds The Maximum Amount Awarded To Public Schools For Public School Teachers Under The Public School Funding Act Of 2003.	candidate:unbatched	passed the gate, not yet read
HB1878	B	senate	1549800	2025-04-16	15	16	passage	False	To Ensure Early Voting Access For Arkansans Residing In Population Centers; And To Require A County Board Of Election Commissioners To Conduct Early Voting In A City In Certain Instances.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1878	B	senate	1549801	2025-04-16	18	17	passage	False	To Ensure Early Voting Access For Arkansans Residing In Population Centers; And To Require A County Board Of Election Commissioners To Conduct Early Voting In A City In Certain Instances.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1878	B	senate	1549802	2025-04-16	18	16	passage	True	To Ensure Early Voting Access For Arkansans Residing In Population Centers; And To Require A County Board Of Election Commissioners To Conduct Early Voting In A City In Certain Instances.	candidate:unbatched	passed the gate, not yet read
HB1917	B	senate	1547549	2025-04-14	16	11	passage	False	To Amend The Arkansas Student-athlete Publicity Rights Act; And To Amend The Law Related To Athletic Program Funding.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
HB1917	B	senate	1547550	2025-04-14	19	12	passage	True	To Amend The Arkansas Student-athlete Publicity Rights Act; And To Amend The Law Related To Athletic Program Funding.	candidate:unbatched	passed the gate, not yet read
HB1922	B	house	1541076	2025-04-08	67	18	passage	True	To Amend The Consolidated Incentive Act Of 2003; To Create An Income Tax Credit For Relocating Corporate Headquarters To This State; And To Encourage Corporations To Relocate To Arkansas.	candidate:unbatched	passed the gate, not yet read
HB1922	B	senate	1547662	2025-04-14	22	13	passage	True	To Amend The Consolidated Incentive Act Of 2003; To Create An Income Tax Credit For Relocating Corporate Headquarters To This State; And To Encourage Corporations To Relocate To Arkansas.	candidate:unbatched	passed the gate, not yet read
HB1929	B	senate	1547631	2025-04-14	22	11	passage	True	"To Create The Recognizing Judea And Samaria Act; And To Prohibit State Agencies From Using The Term ""west Bank"" In Official Government Materials."	candidate:unbatched	passed the gate, not yet read
HB1945	B	house	1543185	2025-04-09	59	30	passage	True	To Amend The Arkansas Opportunity Public School Choice Act; To Amend The Public School Choice Act Of 2015; And To Allow A Student To Transfer To Another Public School Within His Or Her Resident District.	candidate:unbatched	passed the gate, not yet read
HB1965	B	house	1538672	2025-04-07	58	28	passage	True	To Create The Arkansas Healthy Food Retail Act Of 2025; And To Provide Financial Incentives For Healthy Food Retailers In Underserved Communities.	candidate:unbatched	passed the gate, not yet read
HB1965	B	senate	1547326	2025-04-14	22	10	passage	True	To Create The Arkansas Healthy Food Retail Act Of 2025; And To Provide Financial Incentives For Healthy Food Retailers In Underserved Communities.	candidate:unbatched	passed the gate, not yet read
HB1974	B	house	1543971	2025-04-10	76	20	passage	True	To Prohibit State Entities From Employing Unauthorized Aliens; To Establish The E-verify Requirement Act; And To Require State Entities To Use E-verify To Confirm Employment Eligibility.	batch-01	imported
HB1991	B	senate	1549627	2025-04-16	20	10	passage	True	To Provide For Certain Exceptions Related To A Residential Development Under The Arkansas Fire Prevention Code.	candidate:unbatched	passed the gate, not yet read
SB125	B	house	1539465	2025-04-07	71	18	passage	False	An Act For The University Of Central Arkansas Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB127	B	house	1520181	2025-03-18	62	20	passage	False	An Act For The University Of Arkansas - Fayetteville Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB181	B	house	1503183	2025-03-03	60	26	passage	True	To Amend The Library Law; To Amend The Requirements For The State Librarian; And To Amend The Requirements For Regional Library System Directors.	candidate:unbatched	passed the gate, not yet read
SB207	B	senate	1487798	2025-02-12	25	7	passage	False	To Amend The Law Concerning Initiative And Referendum Petitions; To Require A Canvasser To Disclose That Petition Fraud Is A Criminal Offense; And To Declare An Emergency.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB207	B	house	1497495	2025-02-24	67	26	passage	True	To Amend The Law Concerning Initiative And Referendum Petitions; To Require A Canvasser To Disclose That Petition Fraud Is A Criminal Offense; And To Declare An Emergency.	batch-01	imported
SB207	B	senate	1500009	2025-02-26	25	9	passage	True	To Amend The Law Concerning Initiative And Referendum Petitions; To Require A Canvasser To Disclose That Petition Fraud Is A Criminal Offense; And To Declare An Emergency.	batch-01	imported
SB208	B	house	1498856	2025-02-25	70	24	passage	True	To Amend The Law Concerning Initiative And Referendum Petitions; To View A Canvasser To Request Photo Identification Before Obtaining A Signature; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB209	B	senate	1487812	2025-02-12	21	11	passage	True	To Disqualify Signatures Obtained By A Canvasser Under Certain Circumstances; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB209	B	house	1509495	2025-03-10	62	29	passage	True	To Disqualify Signatures Obtained By A Canvasser Under Certain Circumstances; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB210	B	senate	1487545	2025-02-12	22	10	passage	True	To Require The Signer To Read The Ballot Title Of The Petition In The Presence Of A Canvasser; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB210	B	house	1509512	2025-03-10	57	33	passage	True	To Require The Signer To Read The Ballot Title Of The Petition In The Presence Of A Canvasser; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB211	B	senate	1487508	2025-02-12	24	9	passage	False	To Amend The Law Concerning Initiative Petitions And Referendum Petitions; To Require A Canvasser To Submit An Affidavit Before Signatures Can Be Counted; And To Declare An Emergency.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB211	B	house	1498719	2025-02-25	65	27	passage	True	To Amend The Law Concerning Initiative Petitions And Referendum Petitions; To Require A Canvasser To Submit An Affidavit Before Signatures Can Be Counted; And To Declare An Emergency.	batch-01	imported
SB211	B	senate	1503369	2025-03-03	24	9	passage	True	To Amend The Law Concerning Initiative Petitions And Referendum Petitions; To Require A Canvasser To Submit An Affidavit Before Signatures Can Be Counted; And To Declare An Emergency.	batch-01	imported
SB223	B	senate	1498775	2025-02-25	25	8	passage	True	To Create The Religious Rights At Public Schools Act Of 2025.	candidate:unbatched	passed the gate, not yet read
SB290	B	senate	1535913	2025-04-03	22	9	passage	False	To Prohibit A Moratorium On The Issuance Of Permits In Watersheds And Other Bodies Of Water.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB296	B	house	1509491	2025-03-10	72	21	passage	True	To Amend The Law Concerning The Designation Of An Early Voting Location By The County Clerk.	candidate:unbatched	passed the gate, not yet read
SB3	B	senate	1476430	2025-01-29	24	7	passage	False	To Prohibit Discrimination Or Preferential Treatment By The State Of Arkansas And Other Public Entities.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB3	B	house	1483323	2025-02-06	65	27	passage	True	To Prohibit Discrimination Or Preferential Treatment By The State Of Arkansas And Other Public Entities.	batch-01	imported
SB3	B	senate	1487790	2025-02-12	24	6	passage	True	To Prohibit Discrimination Or Preferential Treatment By The State Of Arkansas And Other Public Entities.	batch-01	imported
SB303	B	house	1543047	2025-04-09	56	32	passage	True	To Allow A Resident School District To Permit A Private School Student To Participate In An Interscholastic Activity At The Resident School District Under Certain Conditions.	candidate:unbatched	passed the gate, not yet read
SB307	B	senate	1505986	2025-03-05	17	11	passage	False	To Amend The Law Concerning Public Utilities; To Create The Generating Arkansas Jobs Act Of 2025; And To Declare An Emergency.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB307	B	senate	1516062	2025-03-12	23	9	passage	True	To Amend The Law Concerning Public Utilities; To Create The Generating Arkansas Jobs Act Of 2025; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB324	B	senate	1508148	2025-03-06	23	6	passage	False	To Amend The Law Concerning The Membership Of A County Planning Board.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB335	B	house	1515987	2025-03-12	70	24	passage	False	An Act For The Department Of Education - Arkansas School For The Deaf Capital Improvement Appropriation.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB364	B	house	1547704	2025-04-14	66	23	passage	True	To Amend The Law Concerning Violations And Penalties Related To Contractors.	candidate:unbatched	passed the gate, not yet read
SB365	B	house	1534483	2025-04-02	54	28	passage	True	To Amend The Arkansas Small Brewery Act To Authorize The Operation Of Three Small Brewery Taprooms By A Holder Of A Small Brewery License.	candidate:unbatched	passed the gate, not yet read
SB366	B	senate	1516066	2025-03-12	18	9	passage	True	To Create The Strengthen Arkansas Homes Act; And To Create The Strengthen Arkansas Homes Program Fund.	candidate:unbatched	passed the gate, not yet read
SB366	B	house	1533254	2025-04-01	56	25	passage	True	To Create The Strengthen Arkansas Homes Act; And To Create The Strengthen Arkansas Homes Program Fund.	candidate:unbatched	passed the gate, not yet read
SB392	B	senate	1532560	2025-04-01	22	7	passage	True	To Amend Arkansas Law Concerning The Classification And Compensation Of State Employees; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB406	B	house	1547390	2025-04-14	51	31	passage	True	To Require A County Recorder To Verify Certain Information Before Recording A Deed To Real Estate.	candidate:unbatched	passed the gate, not yet read
SB411	B	senate	1522063	2025-03-19	18	10	passage	True	To Amend The Law Concerning The Height Of Vehicles; And To Create An Offense For The Operation Of A Vehicle With A Modified Bumper.	candidate:unbatched	passed the gate, not yet read
SB426	B	house	1543044	2025-04-09	73	20	passage	True	To Create The Defense Against Criminal Illegals Act; And To Establish Enhanced Penalties For Illegal Aliens Who Commit Serious Felonies Involving Violence.	batch-01	imported
SB433	B	house	1538646	2025-04-07	71	20	passage	True	Regarding The Display Of The National Motto And The Ten Commandments.	candidate:unbatched	passed the gate, not yet read
SB437	B	senate	1549855	2025-04-16	18	14	passage	True	To Create The Arkansas Wind Energy Development Act.	candidate:unbatched	passed the gate, not yet read
SB443	B	house	1533722	2025-04-01	23	56	passage	False	To Amend The Duties Of The State Board Of Appraisers, Abstracters, And Home Inspectors; To Amend The Law Regarding Licensure Of Abstracters; To Amend The Law Regarding Licensure Of Home Inspectors; And To Declare An Emergency.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB446	B	house	1542308	2025-04-09	56	27	passage	True	To Amend The Automatic License Plate Reader System Act; And To Provide For The Use Of Automatic License Plate Readers By Private Landowners, Private Leaseholder, And Commercial Businesses.	candidate:unbatched	passed the gate, not yet read
SB486	B	house	1549625	2025-04-16	60	22	passage	True	Concerning Safety And Privacy In Certain Entities; And Concerning The Designation Of Multi-occupancy Restrooms, Changing Rooms, And Sleeping Quarters In Certain Entities Based On An Individual's Sex.	batch-01	imported
SB490	B	house	1547992	2025-04-14	55	25	passage	True	To Allow A Court To Waive Certain Fees When A Juvenile Is Ordered To Register As A Sex Offender.	candidate:unbatched	passed the gate, not yet read
SB491	B	senate	1550569	2025-04-16	19	7	passage	True	To Require A Vendor That Contracts With The Employee Benefits Division To Submit Data For Verification By An Independent Audit; To Impose A Civil Penalty On A Vendor That Provides Inaccurate Data; And To Declare An Emergency.	candidate:unbatched	passed the gate, not yet read
SB520	B	senate	1540504	2025-04-08	22	7	passage	True	To Prohibit Diversity, Equity, And Inclusion Offices, Officers, Policies, Or Practices In Local Government.	batch-01	imported
SB520	B	house	1547415	2025-04-14	68	22	passage	True	To Prohibit Diversity, Equity, And Inclusion Offices, Officers, Policies, Or Practices In Local Government.	batch-01	imported
SB547	B	house	1547654	2025-04-14	58	25	passage	True	To Repeal The Requirement That A Homeschooled Student Live Within A Certain Radius Of A Private School For Purposes Of Participating In An Extracurricular Activity.	candidate:unbatched	passed the gate, not yet read
SB551	B	senate	1536102	2025-04-03	18	9	passage	True	To Amend The Law Concerning Canvassing For A Petition For A Local Option Election.	candidate:unbatched	passed the gate, not yet read
SB551	B	house	1547361	2025-04-14	71	20	passage	True	To Amend The Law Concerning Canvassing For A Petition For A Local Option Election.	candidate:unbatched	passed the gate, not yet read
SB563	B	senate	1540015	2025-04-08	19	5	passage	True	To Authorize The Arkansas Livestock And Poultry Commission To Impose A Civil Penalty For Certain Actions Against An Equine; And To Allow A Body Condition Score To Be Used For An Equine Under The Offense Of Cruelty To Animals.	candidate:unbatched	passed the gate, not yet read
SB564	B	senate	1535103	2025-04-02	24	8	passage	True	"To Amend The Definition Of ""beer"" To Change The Allowable Alcoholic Content And To Include Malt Beverages."	candidate:unbatched	passed the gate, not yet read
SB564	B	house	1539158	2025-04-07	56	29	passage	True	"To Amend The Definition Of ""beer"" To Change The Allowable Alcoholic Content And To Include Malt Beverages."	candidate:unbatched	passed the gate, not yet read
SB571	B	house	1547145	2025-04-14	32	41	passage	False	To Amend The Law Concerning Municipal Building And Zoning Regulations; And To Prohibit A Municipality From Enforcing Buildings And Zoning Regulations On County Property.	dropped	filter 5: the act moves building and zoning enforcement over county-owned, publicly used land inside city limits from the city to the county. No research area fits an intergovernmental authority question; it is not about housing supply or cost. The title made it look like a housing measure, which is why it was screened in before the act was read.
SB571	B	house	1548462	2025-04-15	62	26	passage	True	To Amend The Law Concerning Municipal Building And Zoning Regulations; And To Prohibit A Municipality From Enforcing Buildings And Zoning Regulations On County Property.	dropped	filter 5: the act moves building and zoning enforcement over county-owned, publicly used land inside city limits from the city to the county. No research area fits an intergovernmental authority question; it is not about housing supply or cost. The title made it look like a housing measure, which is why it was screened in before the act was read.
SB571	B	senate	1549551	2025-04-16	22	6	passage	True	To Amend The Law Concerning Municipal Building And Zoning Regulations; And To Prohibit A Municipality From Enforcing Buildings And Zoning Regulations On County Property.	dropped	filter 5: the act moves building and zoning enforcement over county-owned, publicly used land inside city limits from the city to the county. No research area fits an intergovernmental authority question; it is not about housing supply or cost. The title made it look like a housing measure, which is why it was screened in before the act was read.
SB574	B	senate	1534715	2025-04-02	13	9	passage	False	To Require A Municipality That Operates A Waterworks System Or Sewage System To Provide Service To County Property In Certain Instances.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB584	B	house	1547270	2025-04-14	73	20	passage	True	To Amend The Law Concerning Local Initiative And Referendum Petitions.	candidate:unbatched	passed the gate, not yet read
SB591	B	senate	1540629	2025-04-08	15	9	passage	False	To Prohibit Race-selection Abortion In This State; And To Create The Race Discrimination By Abortion Prohibition Act.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB591	B	house	1549663	2025-04-16	63	17	passage	True	To Prohibit Race-selection Abortion In This State; And To Create The Race Discrimination By Abortion Prohibition Act.	batch-01	imported
SB625	B	senate	1544445	2025-04-10	19	9	passage	False	To Amend Provisions Of The Arkansas Code Concerning The Arkansas Children's Educational Freedom Account Program; And To Declare An Emergency.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB638	B	house	1549644	2025-04-16	58	23	passage	True	To Amend The Law Concerning The Collection Of Sales And Use Tax On The Sale Of A New Or Used Motorboat; And To Provide For The Direct Payment Of Sales And Use Tax On A Motorboat Sold By A Motorboat Dealer.	candidate:unbatched	passed the gate, not yet read
SB64	B	house	1537085	2025-03-12	67	29	passage	False	An Act For The Department Of Education - Educational Television Division Appropriation For The 2025-2026 Fiscal Year.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB640	B	house	1548583	2025-04-15	60	29	passage	True	To Reconstitute The State Library Board.	candidate:unbatched	passed the gate, not yet read
SB94	B	senate	1497508	2025-02-24	20	9	passage	True	To Amend The Requirement For New All-terrain Vehicle Dealers And New Low Speed Vehicle Dealers To Maintain Service And Parts Storage Areas.	candidate:unbatched	passed the gate, not yet read
SB97	B	senate	1476375	2025-01-29	23	10	passage	True	To Authorize The Issuance Of Additional Retail Liquor Permits To Certain Existing Holders Of Retail Liquor Permits.	candidate:unbatched	passed the gate, not yet read
SB97	B	house	1494905	2025-02-20	56	33	passage	True	To Authorize The Issuance Of Additional Retail Liquor Permits To Certain Existing Holders Of Retail Liquor Permits.	candidate:unbatched	passed the gate, not yet read
SB98	B	senate	1478720	2025-02-03	15	12	passage	False	To Amend The Law Regarding Alcoholic Beverages; To Authorize The Third-party Delivery Of Alcoholic Beverages From Certain Retailers; And To Create A Third-party Delivery Permit.	superseded	the chamber voted again on this measure later; that later vote is the one cast on the text that became law
SB98	B	senate	1487792	2025-02-12	18	7	passage	True	To Amend The Law Regarding Alcoholic Beverages; To Authorize The Third-party Delivery Of Alcoholic Beverages From Certain Retailers; And To Create A Third-party Delivery Permit.	candidate:unbatched	passed the gate, not yet read
SB98	B	house	1494921	2025-02-20	56	33	passage	True	To Amend The Law Regarding Alcoholic Beverages; To Authorize The Third-party Delivery Of Alcoholic Beverages From Certain Retailers; And To Create A Third-party Delivery Permit.	candidate:unbatched	passed the gate, not yet read
SJR11	JR	senate	1544090	2025-04-10	28	7	passage	True	A Constitutional Amendment To Amend Arkansas Constitution, Article 2, § 5, To Protect The Right To Keep And Bear Arms.	candidate:unbatched	passed the gate, not yet read
SJR15	JR	house	1549605	2025-04-16	74	21	passage	True	A Constitutional Amendment Concerning Economic Development In The State Of Arkansas; And Authorizing The General Assembly To Provide For The Creation Of Economic Development Districts To Promote Economic Development.	candidate:unbatched	passed the gate, not yet read
