bill	chamber	roll	date	yea	nay	question	candidates	superseded_same_chamber	disposition	title
HF440	H	1520446	2025-03-18	64	33	passage	79		candidate:batch-02	A bill for an act relating to tuition, degree programs, employment, and related matters pertaining to students enrolled at regents institutions. (Formerly HSB 5
HF516	H	1553649	2025-04-22	61	30	passage	76		candidate:batch-02	A bill for an act relating to medical residency and fellowship positions, including priority for admission to the university of Iowa's colleges of medicine and 
HF516	S	1547671	2025-04-14	34	11	passage	15		candidate:batch-02	A bill for an act relating to medical residency and fellowship positions, including priority for admission to the university of Iowa's colleges of medicine and 
HF571	H	1667402	2026-03-23	63	27	passage	76		candidate:batch-02	A bill for an act relating to protections for medical practitioners and health care institutions, including those related to the exercise of conscience, whistle
HF571	S	1657715	2026-03-09	30	16	passage	16		candidate:batch-02	A bill for an act relating to protections for medical practitioners and health care institutions, including those related to the exercise of conscience, whistle
HF706	S	1551301	2025-04-17	34	13	passage	17		batch-01	A bill for an act relating to open meetings and open records, providing penalties, and making penalties applicable. (Formerly HF 416.) Effective date: 07/01/202
HF766	H	1528989	2025-03-25	72	25	passage	80		candidate:batch-02	A bill for an act relating to motor vehicle window tint, and making penalties applicable. (Formerly HF 206.) Effective date: 07/01/2026.
HF766	S	1667844	2026-03-23	31	16	passage	17		candidate:batch-02	A bill for an act relating to motor vehicle window tint, and making penalties applicable. (Formerly HF 206.) Effective date: 07/01/2026.
HF767	H	1529302	2025-03-27	60	32	passage	77		candidate:batch-02	A bill for an act concerning private sector employee drug testing. (Formerly HSB 26.) Effective date: 07/01/2025.
HF767	S	1571839	2025-05-14	31	14	passage	16		candidate:batch-02	A bill for an act concerning private sector employee drug testing. (Formerly HSB 26.) Effective date: 07/01/2025.
HF785	H	1529045	2025-03-26	60	36	passage	79		candidate:batch-02	A bill for an act modifying provisions related to charter school board member requirements. (Formerly HSB 105.) Effective date: 07/01/2025.
HF785	S	1541714	2025-04-09	32	15	passage	17		candidate:batch-02	A bill for an act modifying provisions related to charter school board member requirements. (Formerly HSB 105.) Effective date: 07/01/2025.
HF805	H	1548820	2025-04-15	62	32	passage	78		candidate:batch-02	A bill for an act relating to the practice of dental assistants without registration by the dental board. (Formerly HF 340.) Effective date: 07/01/2025.
HF805	S	1542302	2025-04-09	32	15	passage	17		candidate:batch-02	A bill for an act relating to the practice of dental assistants without registration by the dental board. (Formerly HF 340.) Effective date: 07/01/2025.
HF856	H	1572561	2025-05-13	59	32	passage	78		batch-01	A bill for an act prohibiting public entities from engaging in certain activities relating to diversity, equity, and inclusion, creating a private cause of acti
HF856	S	1569099	2025-05-09	34	16	passage	17		batch-01	A bill for an act prohibiting public entities from engaging in certain activities relating to diversity, equity, and inclusion, creating a private cause of acti
HF862	H	1557465	2025-04-24	58	30	passage	75		candidate:batch-02	A bill for an act relating to the representation of boards of supervisors and county officials by outside counsel, and including effective date provisions. (For
HF862	S	1550662	2025-04-16	30	17	passage	17		candidate:batch-02	A bill for an act relating to the representation of boards of supervisors and county officials by outside counsel, and including effective date provisions. (For
HF865	H	1520148	2025-03-18	64	33	passage	79		candidate:batch-02	A bill for an act modifying provisions related to the harassment or bullying of students enrolled in school districts or accredited nonpublic schools. (Formerly
HF865	S	1560192	2025-04-29	32	16	passage	16		candidate:batch-02	A bill for an act modifying provisions related to the harassment or bullying of students enrolled in school districts or accredited nonpublic schools. (Formerly
HF924	S	1538588	2025-04-07	33	14	passage	17		batch-01	A bill for an act relating to the minimum age for acquiring or carrying weapons. (Formerly HSB 262.) Effective date: 07/01/2025.
HF928	H	1528683	2025-03-25	66	31	passage	80		candidate:batch-02	A bill for an act relating to the recounting and contesting of elections, and providing penalties. (Formerly HF 596.) Effective date: 07/01/2025.
HF928	S	1547860	2025-04-14	31	14	passage	15		candidate:batch-02	A bill for an act relating to the recounting and contesting of elections, and providing penalties. (Formerly HF 596.) Effective date: 07/01/2025.
HF954	H	1528879	2025-03-25	65	31	passage	79		candidate:batch-02	A bill for an act relating to the conduct of elections, and including effective date and retroactive applicability provisions. (Formerly HSB 281.) Effective dat
HF954	S	1538655	2025-04-07	32	15	passage	17		candidate:batch-02	A bill for an act relating to the conduct of elections, and including effective date and retroactive applicability provisions. (Formerly HSB 281.) Effective dat
HF960	S	1685672	2026-04-20	33	11	passage	17		candidate:batch-02	A bill for an act relating to the sales tax exemption for the purchase of central office equipment or transmission equipment used by certain entities primarily 
HF1003	H	1693471	2026-05-02	57	28	concur-chamber	76		candidate:batch-02	A bill for an act relating to child placements. (Formerly HF 638, HSB 146.) Effective date: 07/01/2026.
HF1039	H	1572863	2025-05-14	58	24	passage	70		appropriations	A bill for an act relating to and making appropriations from the rebuild Iowa infrastructure fund and technology reinvestment fund, providing for related matter
HF1044	H	1572869	2025-05-13	60	31	passage	79		appropriations	A bill for an act relating to and making appropriations for state government administration and regulation, including the department of administrative services,
HF1044	S	1571824	2025-05-14	31	15	passage	17		appropriations	A bill for an act relating to and making appropriations for state government administration and regulation, including the department of administrative services,
HF1049	H	1572616	2025-05-13	63	28	passage	79		appropriations	A bill for an act relating to and making appropriations to the department of veterans affairs and the department of health and human services, and related provi
HF1049	S	1571959	2025-05-14	31	15	passage	17		appropriations	A bill for an act relating to and making appropriations to the department of veterans affairs and the department of health and human services, and related provi
HF2215	S	1657466	2026-03-09	31	14	passage	16		candidate:batch-02	A bill for an act relating to natural resources, including office locations of the director of natural resources, state park user fee pilot programs, the delega
HF2230	S	1693511	2026-04-30	28	15	passage	16		candidate:batch-02	A bill for an act relating to teacher education and licensing, including by modifying provisions related to practitioner preparation programs and licenses issue
HF2254	H	1681341	2026-04-13	70	20	passage	78		candidate:batch-02	A bill for an act relating to the prohibition of noncompete clauses in certain employment contracts entered into by the university of Iowa hospitals and clinics
HF2296	H	1645792	2026-02-25	69	22	passage	77		batch-01	A bill for an act restricting counties and cities from issuing a local form of identification. (Formerly HSB 552.) Effective date: 07/01/2026.
HF2296	S	1677876	2026-04-07	31	14	passage	16		batch-01	A bill for an act restricting counties and cities from issuing a local form of identification. (Formerly HSB 552.) Effective date: 07/01/2026.
HF2329	H	1661981	2026-03-12	62	29	passage	79		candidate:batch-02	A bill for an act relating to interest rates and charges on regulated loans, and consumer credit transaction service charges. (Formerly HSB 524.) Effective date
HF2329	S	1677892	2026-04-07	34	11	passage	16		candidate:batch-02	A bill for an act relating to interest rates and charges on regulated loans, and consumer credit transaction service charges. (Formerly HSB 524.) Effective date
HF2501	H	1678374	2026-04-07	63	29	passage	80		candidate:batch-02	A bill for an act relating to the conduct of elections. (Formerly HSB 627.) Effective date: 07/01/2026.
HF2501	S	1683467	2026-04-15	31	16	passage	17		candidate:batch-02	A bill for an act relating to the conduct of elections. (Formerly HSB 627.) Effective date: 07/01/2026.
HF2527	H	1647082	2026-02-26	66	24	passage	77		batch-01	A bill for an act providing a limitation on civil or criminal liability for any alleged actual or potential effect on climate caused wholly or partly by a green
HF2527	S	1669334	2026-03-24	33	13	passage	16		batch-01	A bill for an act providing a limitation on civil or criminal liability for any alleged actual or potential effect on climate caused wholly or partly by a green
HF2539	H	1651914	2026-03-03	66	30	passage	80		candidate:batch-02	A bill for an act repealing certain programs and other matters relating to higher education. (Formerly HSB 607.) Effective date: 07/01/2026.
HF2539	S	1682518	2026-04-14	30	17	passage	17		candidate:batch-02	A bill for an act repealing certain programs and other matters relating to higher education. (Formerly HSB 607.) Effective date: 07/01/2026.
HF2615	S	1693510	2026-05-02	30	16	passage	16		candidate:batch-02	A bill for an act relating to thoroughbred and quarter horse racing seasons. (Formerly HSB 658.) Effective date: 07/01/2026.
HF2670	H	1686962	2026-04-21	65	28	passage	80		candidate:batch-02	A bill for an act relating to education, including by modifying provisions related to summative testing in schools and the educational program provided to stude
HF2670	S	1682564	2026-04-14	30	17	passage	17		candidate:batch-02	A bill for an act relating to education, including by modifying provisions related to summative testing in schools and the educational program provided to stude
HF2676	H	1685805	2026-04-20	61	31	passage	78		candidate:batch-02	A bill for an act relating to health-related matters, including health-related professions, nutrition, medication, and education, and including effective date a
HF2676	S	1693413	2026-04-27	30	16	passage	17		candidate:batch-02	A bill for an act relating to health-related matters, including health-related professions, nutrition, medication, and education, and including effective date a
HF2694	S	1693364	2026-05-02	31	14	passage	15	1693363	candidate:batch-02	A bill for an act relating to the regulation of certain places and activities by the governor. (Formerly HF 2145.) Effective date: 07/01/2026.
HF2707	S	1684868	2026-04-16	32	15	passage	17		candidate:batch-02	A bill for an act relating to alignment of delivery of health and human services programs and services, aging and disability services, and volunteer services, a
HF2711	H	1653269	2026-03-04	64	29	passage	79		candidate:batch-02	A bill for an act relating to state policies and programs with race or gender requirements. (Formerly HSB 668.) Effective date: 07/01/2026.
HF2711	S	1693476	2026-04-29	31	15	passage	16		candidate:batch-02	A bill for an act relating to state policies and programs with race or gender requirements. (Formerly HSB 668.) Effective date: 07/01/2026.
HF2724	S	1694200	2026-04-27	30	16	passage	17		candidate:batch-02	A bill for an act requiring the board of educational examiners to establish additional endorsements and authorizations. (Formerly HSB 677.) Effective date: 07/0
HF2739	H	1666576	2026-03-19	53	40	passage	80		appropriations	A bill for an act relating to state finances by modifying the taxes imposed on health maintenance organizations, making transfers from the taxpayer relief fund,
HF2739	S	1669288	2026-03-24	26	19	passage	16		appropriations	A bill for an act relating to state finances by modifying the taxes imposed on health maintenance organizations, making transfers from the taxpayer relief fund,
HF2754	H	1684389	2026-04-16	53	34	passage	76		appropriations	A bill for an act relating to education, including by modifying provisions related to charter school approval, contracts, funding, and operations, services prov
HF2754	S	1693434	2026-04-27	29	17	passage	17		appropriations	A bill for an act relating to education, including by modifying provisions related to charter school approval, contracts, funding, and operations, services prov
HF2768	H	1694224	2026-04-27	56	33	passage	76		appropriations	A bill for an act relating to and making appropriations for state government administration and regulation, including the department of administrative services,
HF2768	S	1694226	2026-04-28	31	16	passage	17		appropriations	A bill for an act relating to and making appropriations for state government administration and regulation, including the department of administrative services,
HF2769	H	1693947	2026-05-02	56	29	passage	76		appropriations	A bill for an act relating to and making appropriations to the judicial branch. (Formerly HSB 776.) Effective date: 07/01/2026.
HF2770	H	1694247	2026-05-02	54	31	passage	76		appropriations	A bill for an act relating to and making appropriations to the justice system, providing fees, and including applicability provisions. (Formerly HSB 775.) Effec
HF2772	H	1693372	2026-04-28	57	32	passage	79		appropriations	A bill for an act relating to and making appropriations for the economic development of the state, including to the economic development authority, Iowa finance
HF2781	H	1694022	2026-04-28	64	26	passage	80		candidate:batch-02	A bill for an act relating to allocations of moneys from the juvenile detention home fund. (Formerly HF 2537, HF 2315.) Effective date: 07/01/2026.
HF2781	S	1694024	2026-05-02	34	9	passage	15		candidate:batch-02	A bill for an act relating to allocations of moneys from the juvenile detention home fund. (Formerly HF 2537, HF 2315.) Effective date: 07/01/2026.
HF2782	H	1694134	2026-05-01	59	24	passage	76		appropriations	A bill for an act relating to and making appropriations to the department of veterans affairs and the department of health and human services, including aging a
HF2782	S	1694136	2026-05-02	30	14	passage	15		appropriations	A bill for an act relating to and making appropriations to the department of veterans affairs and the department of health and human services, including aging a
HF2783	H	1694076	2026-04-30	58	27	passage	76		appropriations	A bill for an act relating to and making appropriations to the education system, including the funding and operation of the department for the blind, department
HF2787	H	1693447	2026-04-29	71	20	passage	81		candidate:batch-02	A bill for an act prohibiting warrant resolution clinics, including enforcement mechanisms, providing penalties, and including effective date provisions. (Forme
HF2787	S	1693450	2026-05-02	31	12	passage	15		candidate:batch-02	A bill for an act prohibiting warrant resolution clinics, including enforcement mechanisms, providing penalties, and including effective date provisions. (Forme
HF2788	H	1693359	2026-05-01	58	29	passage	79		batch-01	A bill for an act relating to abortions including definitions, informed consent, dispensing of abortion-inducing drugs, and other abortion-related provisions. (
HF2788	S	1693361	2026-05-03	30	11	passage	13		batch-01	A bill for an act relating to abortions including definitions, informed consent, dispensing of abortion-inducing drugs, and other abortion-related provisions. (
HF2800	H	1694229	2026-05-02	58	26	passage	75		appropriations	A bill for an act relating to state and local government and finances, including by making, modifying, limiting, or reducing appropriations, distributions, or t
HF2800	S	1694230	2026-05-03	29	11	passage	13		appropriations	A bill for an act relating to state and local government and finances, including by making, modifying, limiting, or reducing appropriations, distributions, or t
SF75	H	1520557	2025-03-18	65	33	passage	80		candidate:batch-02	A bill for an act relating to county supervisors, concerning county supervisor representation plans and county supervisor vacancies, and including effective dat
SF75	S	1511655	2025-03-10	35	12	passage	15		candidate:batch-02	A bill for an act relating to county supervisors, concerning county supervisor representation plans and county supervisor vacancies, and including effective dat
SF140	H	1677894	2026-04-07	63	29	passage	80		dropped:filter-5 — voting access and electioneering pull opposite ways	A bill for an act relating to satellite absentee voting stations. Effective date: 07/01/2026.
SF140	S	1519044	2025-03-17	33	13	passage	17		dropped:filter-5 — voting access and electioneering pull opposite ways	A bill for an act relating to satellite absentee voting stations. Effective date: 07/01/2026.
SF167	H	1540532	2025-04-08	60	36	passage	80		appropriations	A bill for an act relating to school funding by establishing the state percent of growth and the categorical state percent of growth for the budget year beginni
SF167	S	1538724	2025-04-07	32	15	passage	17		appropriations	A bill for an act relating to school funding by establishing the state percent of growth and the categorical state percent of growth for the budget year beginni
SF175	H	1551752	2025-04-17	60	31	passage	76		candidate:batch-02	A bill for an act incorporating provisions related to pregnancy and fetal development into the human growth and development and health curricula provided by sch
SF175	S	1559504	2025-04-28	33	16	passage	16		candidate:batch-02	A bill for an act incorporating provisions related to pregnancy and fetal development into the human growth and development and health curricula provided by sch
SF303	H	1570062	2025-05-12	51	39	passage	78		candidate:batch-02	A bill for an act relating to county and city regulation of consumer fireworks. (Formerly SSB 1104.) Effective date: 07/01/2025.
SF303	S	1538593	2025-04-07	31	16	passage	17		candidate:batch-02	A bill for an act relating to county and city regulation of consumer fireworks. (Formerly SSB 1104.) Effective date: 07/01/2025.
SF304	H	1682489	2026-04-14	63	29	passage	79		candidate:batch-02	A bill for an act providing an exception to a minor's legal capacity to consent to the provision of medical care or services for a sexually transmitted disease 
SF304	S	1539085	2025-04-07	33	14	passage	17		candidate:batch-02	A bill for an act providing an exception to a minor's legal capacity to consent to the provision of medical care or services for a sexually transmitted disease 
SF369	H	1551628	2025-04-17	60	33	passage	78		candidate:batch-02	A bill for an act requiring students to pass the United States citizenship and immigration services naturalization civics test as a condition of high school gra
SF378	S	1693494	2026-04-22	28	16	passage	17		candidate:batch-02	A bill for an act relating to speed limits, including the speed limit range for which certain excessive speed violations cannot be considered for certain purpos
SF383	S	1559342	2025-04-28	36	14	passage	17		candidate:batch-02	A bill for an act relating to pharmacy benefits managers, pharmacies, prescription drugs, and pharmacy services administrative organizations, and including appl
SF418	H	1501926	2025-02-27	60	36	passage	79		batch-01	A bill for an act relating to sex and gender, including those and related terms for purposes of statutory construction, indications of a person's sex on certain
SF418	S	1501925	2025-02-27	33	15	passage	17		batch-01	A bill for an act relating to sex and gender, including those and related terms for purposes of statutory construction, indications of a person's sex on certain
SF469	H	1693525	2026-05-02	58	27	passage	75		candidate:batch-02	A bill for an act creating an emeritus license to practice medicine and surgery or osteopathic medicine and surgery. (Formerly SSB 1121.) Effective date: 07/01/
SF472	H	1693734	2026-04-28	56	34	passage	80		candidate:batch-02	A bill for an act relating to retention and recertification elections for public employee collective bargaining units and including effective date and applicabi
SF472	S	1509593	2025-03-10	32	15	passage	15		candidate:batch-02	A bill for an act relating to retention and recertification elections for public employee collective bargaining units and including effective date and applicabi
SF473	H	1685741	2026-04-20	58	34	passage	78		candidate:batch-02	A bill for an act relating to certain sincerely held religious or moral beliefs of certain entities for purposes of child foster care and adoption. (Formerly SF
SF473	S	1686876	2026-04-21	28	16	passage	16		candidate:batch-02	A bill for an act relating to certain sincerely held religious or moral beliefs of certain entities for purposes of child foster care and adoption. (Formerly SF
SF579	H	1655450	2026-03-05	60	26	passage	74		batch-01	A bill for an act relating to local laws implementing the Iowa civil rights Act of 1965, local civil rights commissions, and local civil rights agencies, and in
SF579	S	1657970	2026-03-09	29	16	passage	16	1657971	batch-01	A bill for an act relating to local laws implementing the Iowa civil rights Act of 1965, local civil rights commissions, and local civil rights agencies, and in
SF603	H	1520698	2025-03-18	64	34	passage	80		candidate:batch-02	A bill for an act relating to workforce compensation and training, unemployment insurance, and other functions and programs of the department of workforce devel
SF603	S	1521855	2025-03-19	32	15	concur-motion	17	1524540	candidate:batch-02	A bill for an act relating to workforce compensation and training, unemployment insurance, and other functions and programs of the department of workforce devel
SF606	H	1552660	2025-04-21	58	33	passage	76		candidate:batch-02	A bill for an act relating to electronic filing of sales and use tax returns, and including effective date provisions. (Formerly SSB 1154.) Effective date: 05/0
SF607	S	1571845	2025-05-14	32	16	passage	17		candidate:batch-02	A bill for an act relating to unemployment insurance taxes on employers. (Formerly SF 504, SSB 1173.) Effective date: 07/01/2025.
SF615	H	1572630	2025-05-14	56	30	passage	72	1572629	batch-01	A bill for an act relating to work requirements for the Iowa health and wellness plan, public assistance programs, an information technology fund, the public as
SF615	S	1570802	2025-05-13	33	13	passage	16		batch-01	A bill for an act relating to work requirements for the Iowa health and wellness plan, public assistance programs, an information technology fund, the public as
SF644	H	1572557	2025-05-14	60	27	passage	73		appropriations	A bill for an act relating to and making appropriations to the justice system, providing for properly related matters including indigent defense and representat
SF644	S	1570652	2025-05-13	33	13	passage	16		appropriations	A bill for an act relating to and making appropriations to the justice system, providing for properly related matters including indigent defense and representat
SF645	S	1570656	2025-05-13	34	14	passage	16		appropriations	A bill for an act relating to and making appropriations for the economic development of the state, including to the economic development authority, Iowa finance
SF646	H	1572779	2025-05-13	63	28	passage	79		appropriations	A bill for an act relating to and making appropriations involving state government entities associated with agriculture, natural resources, and environmental pr
SF646	S	1570017	2025-05-12	34	14	passage	16		appropriations	A bill for an act relating to and making appropriations involving state government entities associated with agriculture, natural resources, and environmental pr
SF647	H	1572728	2025-05-13	59	32	passage	79		appropriations	A bill for an act relating to and making appropriations to the education system, including the funding and operation of the department for the blind, department
SF647	S	1570064	2025-05-12	34	14	passage	16		appropriations	A bill for an act relating to and making appropriations to the education system, including the funding and operation of the department for the blind, department
SF648	S	1570649	2025-05-13	34	14	passage	16		appropriations	A bill for an act relating to and making appropriations to the judicial branch including judicial officer salaries and interpreter or translator fees, and inclu
SF654	H	1693453	2026-04-27	66	23	passage	76		candidate:batch-02	A bill for an act relating to wildlife, including the treatment of beaver dams, identification for traps, snares, and tree stands, maximum fur dealer license fe
SF654	S	1693454	2026-05-02	32	12	passage	15		candidate:batch-02	A bill for an act relating to wildlife, including the treatment of beaver dams, identification for traps, snares, and tree stands, maximum fur dealer license fe
SF659	S	1571900	2025-05-14	28	11	passage	15		appropriations	A bill for an act relating to state government and finances, including by making, modifying, limiting, or reducing appropriations, distributions, or transfers; 
SF2039	H	1693913	2026-04-30	59	25	passage	75	1683917	candidate:batch-02	A bill for an act providing for intervention by members of the general assembly in proceedings for judicial review of agency action under the Iowa administrativ
SF2201	H	1639189	2026-02-19	58	35	passage	80		appropriations	A bill for an act relating to school funding by establishing the state percent of growth and the categorical state percent of growth for the budget year beginni
SF2201	S	1641927	2026-02-23	27	20	passage	16		appropriations	A bill for an act relating to school funding by establishing the state percent of growth and the categorical state percent of growth for the budget year beginni
SF2218	H	1694102	2026-04-29	71	20	passage	81		candidate:batch-02	A bill for an act relating to state regulatory compliance and eligibility requirements, including by modifying provisions related to the verification of the ide
SF2231	H	1679520	2026-04-08	63	25	passage	74		candidate:batch-02	A bill for an act relating to education, including by modifying provisions related to the protected speech and expression rights of students, modifying provisio
SF2231	S	1685746	2026-04-20	28	16	passage	17		candidate:batch-02	A bill for an act relating to education, including by modifying provisions related to the protected speech and expression rights of students, modifying provisio
SF2378	S	1694086	2026-04-29	34	12	passage	16		candidate:batch-02	A bill for an act relating to the ability of property owners to protest proposed changes in zoning districts. (Formerly SF 2091.) Effective date: 07/01/2026.
SF2399	H	1682389	2026-04-14	72	21	passage	80		candidate:batch-02	A bill for an act relating to bail and bond amounts and conditions. (Formerly SSB 3162.) Effective date: 07/01/2026.
SF2422	S	1693460	2026-04-30	27	16	passage	17		candidate:batch-02	A bill for an act relating to public assistance programs under the purview of the department of health and human services, including the supplemental nutrition 
SF2426	H	1683903	2026-04-15	73	22	passage	80		dropped:filter-5 — reads two ways (road safety against immigrant driver access)	A bill for an act relating to sufficient English language proficiency requirements for commercial drivers, providing penalties, and including applicability prov
SF2463	S	1678690	2026-04-08	30	15	passage	17		candidate:batch-02	A bill for an act concerning the executive branch rulemaking process, including the uniform rules on agency procedure and review and regulatory readoption of ru
SF2480	H	1693482	2026-05-02	67	18	passage	76		appropriations	A bill for an act relating to the taxation and regulation of alternative nicotine products and vapor products, making appropriations, and including effective da
SF2488	S	1694083	2026-05-01	28	15	passage	16		appropriations	A bill for an act relating to early childhood and family services, including the creation of an early childhood and family services system, making appropriation
SF2490	H	1693442	2026-05-02	65	21	passage	76		candidate:batch-02	A bill for an act relating to oil and gas production, including filing requirements, the authority of the department of natural resources, confidential informat
